genes	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11	AML12	AML13	AML14	AML15	AML16	AML17	AML18	AML19	AML20	AML21	AML22	AML23	AML24	AML25	AML26
MPDZ	-1.190381	NA	NA	NA	NA	NA	NA	NA	-0.988795546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7559698	NA	-3.923419221
KIF20A	2.068568111	NA	-4.229130778	NA	NA	NA	NA	NA	NA	NA	NA	-2.151681444	NA	NA	NA	NA	NA	NA	NA	NA	-2.360041957	NA	NA	NA	NA	NA
CEP55	1.423948389	-1.560355667	-3.236554333	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.531570061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDC42BPA	1.101215667	NA	NA	NA	NA	NA	NA	NA	-0.878213954	-1.227629028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.407258536
CTSW	2.0180515	-1.167790056	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.288270944	NA	NA	NA	2.352776721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUB1	1.864339111	NA	-3.410632278	NA	NA	NA	NA	NA	NA	-0.579932463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.022288891	NA	NA	NA	NA	NA
TRAM2	1.329905667	NA	NA	1.635755644	0.839111683	NA	NA	NA	NA	NA	-0.353287596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TFRC	-1.501487556	NA	NA	NA	NA	NA	NA	NA	0.621215332	NA	0.373401313	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.534673298	NA	NA	NA	NA	NA
CTXN1	1.173885778	-0.895193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.995474538	NA	2.156152329	NA	NA
TSC22D1	-1.589207444	NA	NA	NA	NA	NA	NA	0.552093944	NA	NA	NA	1.200728111	NA	NA	NA	NA	NA	NA	NA	2.781854094	NA	NA	NA	NA	NA	NA
RFC3	1.464706278	-0.993857444	-1.311083056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.525449101	NA	NA	NA	NA	NA
MRPS28	1.175113667	NA	NA	NA	-0.8581156	NA	NA	NA	NA	NA	NA	-1.859653028	NA	NA	NA	NA	NA	NA	NA	NA	-1.179254875	NA	NA	NA	NA	NA
NPIPB5	-1.605595722	NA	NA	NA	NA	NA	NA	NA	NA	-0.962639806	-0.479186461	NA	NA	NA	1.186999886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBE2T	1.407643278	-2.172230917	-1.3699115	NA	NA	NA	NA	NA	NA	-0.737279876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HJURP	1.8278545	-1.202974167	-2.451398444	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.016511907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP53INP1	-1.327434611	0.970878833	NA	1.559231667	NA	NA	-0.887335556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S100A11	1.2247185	1.017015333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.062569757	NA	NA	NA	NA	NA	-3.324403281	NA	NA	NA	NA	NA	NA
ACTA2	1.112829833	NA	NA	1.627024962	NA	NA	NA	NA	NA	NA	NA	2.008601278	NA	NA	NA	NA	NA	NA	NA	NA	1.174677415	NA	NA	NA	NA	NA
CBS	1.265455056	1.363787833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.924732121	NA	0.65942375	NA	NA	NA	NA	NA	NA	NA	NA
EPB41L4A-AS1	-1.1131495	1.247524667	NA	NA	NA	NA	NA	NA	-0.554419515	NA	NA	1.979106111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNFSF4	1.109285611	1.917137222	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.509338889	NA	NA	NA	NA	NA	1.028653194	NA	NA	NA	NA	NA	NA	NA	NA
NFKB1	-1.314328389	2.394589056	NA	NA	NA	1.526768889	-0.976409639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSI2	1.412583167	NA	NA	NA	-0.913018166	NA	NA	NA	-0.795858959	NA	NA	NA	NA	1.824979328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPFIBP1	-1.266049889	0.8902915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.935813986	NA	NA	NA	NA	2.553593422	NA	NA	NA	NA	NA	NA	NA
TMEM51	-1.325755389	1.385810667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.109147844	NA	NA	NA	NA	2.420494449	NA	NA
SH3BGRL2	-1.867155556	NA	NA	NA	NA	NA	NA	NA	-0.711688214	NA	NA	NA	NA	-2.700328926	NA	NA	NA	NA	-2.737511172	NA	NA	NA	NA	NA	NA	NA
LMNA	-1.468058833	0.885866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.480441375	NA	1.134858685	NA	NA	NA	NA	NA
KIFC1	1.237236778	-1.616901556	-1.7200385	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.825294258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GFI1	-1.1643705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.317276155	NA	NA	NA	NA	1.267191072	5.332859842	NA	NA	NA	NA
CENPE	1.088759444	NA	NA	NA	NA	NA	NA	NA	NA	-0.617288494	NA	NA	-1.765133188	NA	NA	NA	NA	NA	NA	NA	-1.236624678	NA	NA	NA	NA	NA
HCP5	-1.80022	1.738402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.912886568	-0.448270694	NA	NA	NA	NA	NA	NA	NA	NA
HLA-DQB1	-1.128636167	NA	NA	NA	NA	NA	-2.262170556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.053343056	NA	NA	-1.123017867	NA	NA	NA	NA	NA
ZSWIM6	-1.099187167	NA	NA	NA	NA	NA	NA	NA	0.41167099	NA	NA	1.221799194	NA	-1.666173995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAQR7	-1.169852222	NA	NA	-1.016297462	0.874468537	NA	NA	NA	NA	0.53226772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TK1	1.121956167	-1.728355389	-2.469932778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.323818172	NA	NA	NA	NA	NA
RUNX2	-1.268266722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.717205486	2.208729125	2.482676063	NA	NA	NA	NA	NA	NA
RAB13	-1.079577167	0.9645325	NA	NA	NA	NA	NA	-0.471097796	NA	NA	NA	NA	NA	NA	0.61345524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HBA1	-3.3643415	NA	NA	NA	NA	-2.150277222	-0.813749278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.068105576	NA	NA	NA	NA	NA
PTGER4	-1.084515111	1.482713056	NA	NA	NA	NA	NA	NA	NA	0.87176209	-0.441844808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPP1R15A	-1.186338056	2.075525611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.798353502	NA	NA	NA	NA	NA	-2.535114	NA	NA	NA	NA	NA	NA
RPPH1	NA	NA	NA	NA	1.085903939	NA	NA	NA	0.419814872	0.930780826	0.582296197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OIP5	NA	NA	-2.1236585	NA	-1.438257124	NA	NA	NA	NA	-0.869831671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.056772318	NA	NA	NA	NA	NA
CAPRIN2	NA	NA	NA	1.405914583	NA	NA	NA	NA	NA	-0.765674306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.811746624	NA	NA	2.101738226	NA	NA
SPC25	NA	NA	-3.018898222	NA	NA	NA	NA	NA	NA	-0.675272163	NA	-1.671164778	-2.520615248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARRDC3	NA	NA	NA	NA	NA	NA	-0.81565625	NA	1.314909337	1.523095001	1.216877362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EBF1	NA	NA	NA	NA	-2.245727726	NA	-0.910032042	NA	NA	-1.147858788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.70001817
TSC22D3	NA	NA	1.824423194	NA	NA	NA	NA	NA	NA	0.572960181	0.40752582	2.682417222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMIM10	NA	NA	NA	NA	-1.0473173	NA	NA	NA	NA	-0.832676756	NA	-1.084410944	-1.929984821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AHSP	NA	NA	NA	NA	NA	NA	NA	NA	-0.534391878	-1.142147533	NA	NA	NA	NA	NA	NA	NA	NA	-3.4340465	NA	-4.88324124	NA	NA	NA	NA	NA
ST6GAL2	NA	NA	NA	NA	NA	NA	NA	NA	-1.314234454	-1.000351976	NA	NA	-3.204717476	NA	NA	NA	NA	NA	NA	NA	NA	-4.355638226	NA	NA	NA	NA
NOL11	NA	NA	NA	NA	NA	NA	NA	NA	-0.423663327	-0.692187794	-0.45699334	NA	NA	1.86694728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCARNA10	NA	-0.982412056	NA	NA	NA	NA	NA	NA	0.602540709	0.909575135	0.462578218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNRNP25	NA	-2.462497556	NA	NA	NA	NA	NA	NA	NA	-0.728239459	NA	-1.672640722	NA	NA	NA	NA	NA	0.533942222	NA	NA	NA	NA	NA	NA	NA	NA
SNORA80E	NA	NA	NA	NA	NA	NA	NA	NA	1.305324209	2.28095687	1.752279799	NA	NA	NA	NA	NA	NA	0.943317083	NA	NA	NA	NA	NA	NA	NA	NA
C2orf88	NA	NA	NA	NA	NA	-1.403078056	NA	NA	NA	-0.550518903	NA	NA	NA	NA	NA	NA	NA	NA	-2.858576984	NA	NA	NA	NA	2.026162737	NA	NA
TPGS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.730290425	NA	-1.196262611	NA	NA	NA	NA	NA	NA	NA	NA	-1.278656302	NA	NA	2.003496094	NA	NA
C1QBP	NA	-1.104448611	NA	1.015105795	NA	NA	NA	NA	NA	-0.843252878	NA	NA	NA	2.753698742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPO9	NA	NA	NA	NA	NA	NA	NA	NA	-0.64244998	-1.057742384	-0.419756768	NA	NA	NA	NA	NA	NA	NA	2.097049469	NA	NA	NA	NA	NA	NA	NA
PBX1	NA	NA	NA	NA	-1.72062598	NA	NA	NA	-0.887065224	-0.606049427	NA	NA	NA	NA	NA	NA	NA	-0.461680278	NA	NA	NA	NA	NA	NA	NA	NA
MAD2L1	NA	-2.414587667	-1.800069417	NA	NA	NA	NA	NA	NA	-0.600802751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.598985412	NA	NA	NA	NA	NA
KLHL24	NA	NA	NA	NA	NA	NA	-0.791787139	NA	NA	0.64282203	NA	1.801221944	NA	NA	NA	NA	NA	-0.47505625	NA	NA	NA	NA	NA	NA	NA	NA
PRIM1	NA	-1.035805167	-1.153789583	NA	NA	NA	NA	NA	NA	-0.975388794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.440783028	NA	NA	NA	NA	NA
CENPU	NA	-1.432301	-0.845828056	NA	NA	NA	NA	NA	NA	-0.961065279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.336446649	NA	NA	NA	NA	NA
ATF3	NA	NA	NA	NA	NA	NA	NA	NA	0.592456663	1.027325685	NA	NA	NA	NA	NA	2.147832588	NA	NA	NA	NA	NA	-4.840387303	NA	NA	NA	NA
SFXN3	NA	NA	NA	NA	NA	NA	NA	NA	0.525559122	0.711521719	NA	NA	NA	NA	-0.477653547	NA	NA	NA	NA	NA	1.793120395	NA	NA	NA	NA	NA
ITGA5	NA	1.262035	NA	NA	NA	NA	NA	NA	0.434038806	1.076031969	NA	NA	NA	NA	-0.791717117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LYAR	NA	-1.527996111	NA	NA	-0.910241321	NA	NA	NA	NA	-0.595961943	NA	-1.17626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM24	NA	NA	NA	NA	NA	NA	NA	NA	-0.402572495	-0.555543023	NA	NA	NA	1.867370539	NA	1.820117053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF595	NA	NA	NA	NA	NA	NA	NA	NA	-0.932662582	-0.823153894	-0.390668803	NA	NA	NA	NA	NA	2.702099517	NA	NA	NA	NA	NA	NA	NA	NA	NA
ELOVL6	NA	-1.794005278	NA	NA	NA	NA	NA	NA	NA	-0.740208618	NA	NA	NA	NA	-1.044599268	NA	NA	NA	NA	NA	-1.934553634	NA	NA	NA	NA	NA
PIP5K1B	NA	NA	NA	NA	NA	NA	NA	NA	-0.444644122	-0.572202566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.172197899	2.960805554	NA	NA	NA	NA
APOC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.350870855	NA	NA	-3.824646224	NA	NA	-2.20269767	NA	NA	NA	NA	-1.877194628	NA	NA	NA	NA	NA
CCDC152	NA	NA	NA	NA	-2.618256373	NA	NA	NA	-0.620554959	-0.737620811	NA	NA	-3.038514975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CXCL2	NA	2.122072222	NA	NA	NA	NA	NA	NA	0.554296148	0.878077749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.186150276	NA
MFSD14B	NA	NA	NA	NA	-0.752370342	NA	-0.743744056	NA	-0.611334974	-0.65678967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARL17B	NA	NA	NA	NA	-0.760725242	NA	NA	NA	-0.764097311	-1.206044934	-0.891563882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARL17A	NA	NA	NA	NA	-0.760725242	NA	NA	NA	-0.764097311	-1.206044934	-0.891563882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPY19L2	NA	NA	NA	NA	NA	NA	NA	NA	-0.435203872	-0.630664131	NA	NA	NA	2.745482364	NA	NA	NA	NA	NA	3.671999672	NA	NA	NA	NA	NA	NA
NEAT1	NA	NA	NA	NA	NA	NA	NA	NA	0.532206245	0.718666534	0.422997876	NA	NA	-1.771420737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUSP10	NA	NA	NA	NA	1.027117743	NA	NA	NA	0.604181347	0.819913473	NA	1.3974565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CENPK	NA	-0.941977167	-1.488143111	NA	NA	NA	NA	NA	NA	-0.62800518	NA	NA	-1.589880948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CENPN	NA	-2.221820944	-1.0247255	NA	NA	NA	NA	NA	NA	-0.653218205	NA	-1.319105444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
POLE2	NA	-1.436763722	-1.2609085	NA	NA	NA	NA	NA	NA	-0.886592193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.63403795	NA	NA	NA	NA	NA
SH3BP5-AS1	NA	NA	NA	NA	-0.926850291	NA	NA	NA	-0.719863454	-0.549413187	-0.675223937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPX1	NA	NA	NA	NA	NA	NA	NA	NA	1.070808561	1.145197593	0.546096656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.90304931	NA	NA
ZNF850	NA	NA	NA	NA	NA	NA	NA	NA	-0.460450714	-0.914689308	NA	NA	-1.530226224	NA	NA	NA	NA	NA	NA	3.05519475	NA	NA	NA	NA	NA	NA
GINS2	NA	-2.430849889	-2.568610778	NA	NA	NA	NA	NA	NA	-0.659693996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.580047674	NA	NA	NA	NA	NA
MCM6	NA	-0.968958778	NA	NA	-0.892151074	NA	NA	NA	NA	-0.942204749	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.633271528	NA	NA	NA	NA	NA
GMPR	NA	-1.089438722	NA	NA	NA	NA	NA	NA	NA	-0.536219414	NA	NA	NA	NA	NA	NA	1.586260084	NA	NA	NA	NA	NA	NA	2.109217793	NA	NA
PRTN3	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.530601663	NA	-5.0272675	NA	NA	NA	NA	NA	NA	NA	-3.750726469	-3.312870691	NA	NA	NA	NA	NA
RFC4	NA	-1.290091333	-1.209340778	NA	NA	NA	NA	NA	NA	-0.642436121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.583365359	NA	NA	NA	NA	NA
STAB1	NA	NA	NA	NA	NA	NA	NA	NA	0.659105755	1.125565462	NA	NA	1.818455253	NA	NA	NA	NA	NA	NA	NA	2.127945015	NA	NA	NA	NA	NA
EXOSC5	NA	-1.266273556	NA	NA	NA	NA	0.812116889	NA	NA	-0.989379607	NA	NA	NA	1.984173999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD36B	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.843462918	-0.393132427	NA	NA	2.098174445	0.934762614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNE3	NA	NA	NA	NA	NA	NA	0.790539944	-0.656695458	0.611976337	0.699253929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNASE6	NA	NA	NA	NA	NA	NA	-2.364400889	NA	NA	-1.174921972	NA	NA	NA	-2.132790859	NA	NA	NA	NA	NA	-2.639220844	NA	NA	NA	NA	NA	NA
MXRA7	NA	NA	NA	NA	1.020982755	NA	NA	NA	NA	0.537580912	NA	NA	1.859671055	NA	NA	NA	NA	NA	NA	NA	1.220469525	NA	NA	NA	NA	NA
MIS18A	NA	-1.179517944	NA	0.967024697	NA	NA	NA	NA	NA	-0.672666475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.381312158	NA	NA	NA	NA	NA
FAM117B	NA	NA	NA	1.150988712	NA	NA	NA	NA	-0.537148245	-0.498249882	-0.494682704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAVIN2	NA	NA	NA	NA	NA	NA	NA	NA	-0.66258898	-0.535514328	NA	NA	NA	-1.719655252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.378813197	NA
H4C8	NA	NA	NA	NA	NA	-1.633616667	NA	NA	1.120527679	1.043664821	0.542245911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANKH	NA	NA	NA	NA	NA	NA	NA	NA	-0.837191551	-0.613286157	NA	1.213097444	-2.628665786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
H4C12	NA	NA	NA	NA	NA	NA	NA	NA	0.850662173	1.110855647	0.595255064	NA	NA	1.659129832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLCB4	NA	NA	NA	NA	NA	NA	NA	NA	-0.800059929	-0.503312055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.348016974	NA	-4.901047065
WEE1	NA	NA	-1.1288575	1.726607159	NA	NA	NA	NA	NA	-0.635467295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.36516211	NA	NA	NA	NA	NA
MCM7	NA	-1.115758556	-1.411884556	NA	NA	NA	NA	NA	-0.521931306	-0.523793203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNASE3	NA	NA	NA	NA	NA	NA	NA	-0.756353445	NA	-1.009372035	NA	-3.364906111	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.910500643	NA	NA	NA	NA
VRK1	NA	-1.651412556	-1.061586972	NA	NA	NA	NA	NA	NA	-0.565586492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.398285474	NA	NA	NA	NA	NA
OSGIN2	NA	NA	NA	NA	0.866413839	NA	-0.812117889	NA	0.728489643	0.565695655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM97	NA	-3.084324167	NA	NA	NA	NA	0.962414556	NA	NA	-0.509546055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.301923922	NA	NA	NA	NA	NA
KLF6	NA	2.382972778	NA	NA	NA	NA	NA	NA	0.8889185	0.800890236	0.656481148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FREM1	NA	NA	NA	NA	-2.224168524	NA	NA	NA	-1.226634158	-0.770975385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.957884694
PLAUR	NA	NA	NA	NA	NA	NA	NA	NA	0.548766546	0.554041841	NA	NA	NA	-3.214179336	-0.826623558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR174	NA	NA	NA	NA	1.029955498	NA	NA	NA	NA	0.61722135	-0.821350432	NA	2.009990407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRE2	NA	NA	NA	NA	NA	NA	NA	NA	0.892313051	0.64538032	0.434973867	NA	NA	NA	NA	1.957079763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSTA	NA	NA	NA	NA	NA	NA	3.590763944	NA	NA	-0.589888758	NA	NA	NA	NA	1.908088959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.701379376
PTP4A3	NA	NA	NA	NA	NA	-1.418982222	NA	NA	0.550138474	0.723874072	NA	NA	1.634743372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HCST	NA	NA	NA	NA	1.172140744	NA	NA	NA	0.792867408	0.537339415	NA	NA	1.972986069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BET1L	NA	NA	NA	NA	NA	NA	NA	NA	-0.881716551	-0.66437186	-0.373030964	NA	NA	-2.567149483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCD	NA	-1.037513833	NA	NA	NA	NA	NA	NA	-0.757991597	-0.877798355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.886389489	NA	NA	NA
ALOX5AP	NA	1.590683444	NA	NA	NA	NA	NA	NA	NA	-0.699079562	NA	NA	NA	-2.699041	NA	NA	NA	NA	NA	NA	NA	3.708545892	NA	NA	NA	NA
XK	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.548443995	NA	NA	NA	NA	NA	NA	NA	NA	-4.126047297	NA	-3.594670285	NA	NA	2.282121045	NA	NA
SAMHD1	NA	NA	NA	NA	-1.509527246	NA	-1.246471333	NA	NA	-0.799150115	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.993141219	NA	NA	NA	NA	NA	NA
KCNA3	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.824985174	-0.425854202	NA	NA	-2.809008752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.88331651
ADGRE1	NA	NA	NA	NA	NA	NA	-0.850105111	NA	0.834069985	0.727145467	NA	NA	NA	-2.5596326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MLLT3	NA	NA	NA	NA	NA	NA	NA	NA	-1.047815306	-0.501951634	NA	NA	-2.183891242	NA	NA	NA	NA	NA	NA	NA	-1.296207083	NA	NA	NA	NA	NA
DCAF16	NA	NA	NA	NA	NA	NA	NA	NA	-0.453845179	NA	-0.359088108	NA	NA	NA	NA	NA	NA	NA	2.074207844	2.459196063	NA	NA	NA	NA	NA	NA
PLXDC1	NA	NA	NA	NA	NA	NA	NA	-0.533158713	NA	NA	-0.355107836	NA	NA	NA	NA	NA	NA	0.609510556	NA	NA	NA	NA	NA	NA	-3.176364175	NA
THEMIS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.560704019	NA	NA	-1.900789205	NA	NA	NA	NA	-3.575060766	-2.770169891	NA	NA	NA	NA	NA	NA
BTN3A1	NA	NA	NA	NA	NA	NA	NA	NA	-0.486647173	NA	-0.484756752	NA	NA	-1.631686395	NA	NA	NA	-0.455815	NA	NA	NA	NA	NA	NA	NA	NA
FCMR	NA	NA	NA	NA	NA	NA	-1.120683278	NA	NA	NA	-0.454783945	NA	NA	-3.726024814	NA	NA	NA	NA	NA	NA	-2.001960195	NA	NA	NA	NA	NA
MGA	NA	NA	NA	1.474946136	NA	NA	NA	NA	NA	NA	-0.357810786	NA	NA	1.815137345	NA	NA	NA	NA	NA	2.639748156	NA	NA	NA	NA	NA	NA
ZBTB42	NA	NA	NA	NA	NA	NA	NA	-0.521538241	NA	NA	0.465506691	NA	NA	NA	NA	NA	NA	NA	2.0770205	3.023049	NA	NA	NA	NA	NA	NA
IFIH1	NA	1.299522778	NA	NA	NA	NA	-1.021789398	NA	NA	NA	-0.393634445	NA	NA	NA	NA	NA	-1.465996146	NA	NA	NA	NA	NA	NA	NA	NA	NA
GZMK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.512703981	NA	NA	-1.828329763	NA	NA	NA	NA	-2.094105438	NA	-1.773704133	NA	NA	NA	NA	NA
GPR18	NA	NA	NA	NA	NA	NA	-0.865232778	NA	NA	NA	-0.363791353	NA	1.765584795	-2.742313669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSF2RA	NA	NA	NA	NA	NA	NA	NA	NA	0.423635347	NA	0.343507856	NA	NA	-1.902281028	NA	NA	NA	NA	NA	-2.503231094	NA	NA	NA	NA	NA	NA
PYHIN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.60953103	NA	2.972821825	NA	NA	NA	NA	NA	-2.287025906	NA	NA	4.069273446	NA	NA	NA	NA
CD27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.544754717	NA	NA	-2.509980119	NA	NA	NA	NA	NA	NA	-1.651466841	NA	-4.135197013	NA	NA	NA
PELI1	NA	1.072730611	NA	NA	0.947862834	NA	NA	NA	NA	NA	0.430321708	NA	NA	-1.616598253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.349561002	NA	NA	-2.010177906	NA	NA	1.618291944	NA	NA	NA	NA	5.313264177	NA	NA	NA	NA
